id,vin,manufacturer,model,year,price,odometer,fuel,transmission,dealer,city,state,listing_type,image
a96069df-4a2d-446d-9627-193f9964e70f,SICOGIRZBJRYTIEWT,Mercedes-Benz,E-Class,2022,16357,93770,electric,manual,DriveTime,Houston,TX,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
13b03bb3-c9e3-4bcf-b057-8cedd1438761,RVZAXP0ZGB7PCG9RT,Toyota,Camry,2018,54614,49166,gas,manual,CarMax,Chicago,IL,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
e73bb156-3ff7-4b49-9ff1-2468c04d09e6,TKHGR7OHZWMGIHRAU,BMW,X5,2010,14082,114969,gas,manual,AutoNation,Houston,TX,fraud,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
75821f36-a664-4093-9ad8-d7e7aed33b65,79KW40U10ZTCZQE70,Toyota,Camry,2011,14540,88932,gas,automatic,CarMax,Chicago,IL,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
924a22b8-db2d-4b78-aa5d-9d599e212db2,YXLRLLCMFHYSYAJL1,Toyota,RAV4,2021,15537,31866,gas,manual,AutoNation,New York,NY,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
38da3e4d-531f-41af-ba83-09096fa48b91,CHCK8XI3N6U8FYVVZ,Ford,F-150,2018,27876,102268,electric,automatic,AutoNation,Los Angeles,CA,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
c9bebff8-fc3d-48bd-a92f-8b98d361a0f3,UGUG3JT45C3FRGSGG,BMW,3 Series,2012,39539,55358,hybrid,automatic,CarMax,Los Angeles,CA,great_deal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
c8f8251f-3497-47ae-bbc7-30d2408cdac1,23X4R5B2CR7SHAHY9,Honda,Accord,2016,43519,26156,hybrid,automatic,AutoNation,Los Angeles,CA,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
bdd843b4-f66c-4314-9258-874b9d43dfa2,9QPQ664FNA6E2TJ4J,Mercedes-Benz,E-Class,2019,35228,113088,hybrid,manual,AutoNation,New York,NY,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
17cd49d7-b992-4793-a511-4087cd8c35ee,2O7YKCTQ9QZPR6S0W,BMW,3 Series,2022,24578,81467,electric,manual,CarMax,Houston,TX,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
35a8283a-dd9a-49ac-b829-90bc71df29c1,T366LK775P4QHV8LI,BMW,5 Series,2015,36439,72446,electric,manual,Elite Motors,New York,NY,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
fdc026c2-1681-4911-9724-e5f6518aaa46,KV2DMP7TDECBRI8ID,BMW,5 Series,2021,34688,78686,hybrid,manual,DriveTime,New York,NY,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
ea8ca6f3-1776-4fd1-b01b-4b3e8405f0df,IJ2NSGX0QE9XQRQWN,BMW,X5,2021,15007,118744,electric,manual,DriveTime,New York,NY,fraud,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
3b2e78a2-5269-4546-a14d-20b0f7be1366,TVIRLBF9XHD9HM4F9,BMW,3 Series,2010,21240,73487,gas,automatic,Elite Motors,Los Angeles,CA,great_deal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
19b15362-b0e6-4c04-9441-72b2106d3989,XB6YYQ12RES2EDDUT,BMW,5 Series,2021,13181,115466,gas,automatic,DriveTime,Chicago,IL,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
a77af73f-111a-47e9-83e6-de7da6559306,K8VVBU0XCATRR28CD,Honda,Civic,2014,16072,45622,electric,automatic,DriveTime,New York,NY,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
131c84f9-7b5f-4d72-b305-6310ec9ed2f5,AEN5JKYQC5B28DRNH,Toyota,RAV4,2014,6076,117089,hybrid,manual,Elite Motors,Chicago,IL,fraud,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
678dceb7-6a5c-4bd2-87fb-cc5d059eefe6,OPCWV5409455KGJ40,Honda,CR-V,2021,8759,72376,hybrid,automatic,CarMax,New York,NY,great_deal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
2423d71d-ea85-4723-b5db-ff57ce0f10aa,T0ODHV0P1W7HH0MEQ,Ford,Escape,2020,44355,116550,electric,manual,CarMax,New York,NY,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
65d65736-e3af-4b9f-b2ee-936410aafaa4,3FFCSN00FDEKZCFSR,Honda,CR-V,2014,40243,66982,gas,manual,Elite Motors,Chicago,IL,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
750784e6-5ae7-4b8b-9f93-e950a8591ea4,DSPR5BBO0NTINV2ZK,Ford,Escape,2019,14155,51097,hybrid,manual,CarMax,New York,NY,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
c0cc4571-0572-4111-993c-f67c7943fbd2,D6QKAUM4STJ08LDGT,Mercedes-Benz,GLE,2022,35036,70921,gas,automatic,CarMax,Los Angeles,CA,normal,https://cdn.pixabay.com/photo/2012/05/29/00/43/car-49278_1280.jpg
